,AI_Optimized
2024-06-03,878.974870248315
2024-06-04,889.9582010321591
2024-06-05,935.8407262999508
2024-06-06,924.8191266806576
2024-06-07,923.978379033563
2024-06-10,930.8725447417233
2024-06-11,924.2224011961912
2024-06-12,957.014651274774
2024-06-13,990.7242450079892
2024-06-14,1008.0758950324033
2024-06-17,1001.1963718207334
2024-06-18,1036.3581978552793
2024-06-20,999.6676018485045
2024-06-21,967.4867197508788
2024-06-24,902.8195049117066
2024-06-25,963.8176951521849
2024-06-26,966.1873294447876
2024-06-27,947.7654937705017
2024-06-28,944.3257905013062
2024-07-01,950.1352447363831
2024-07-02,937.6755886191346
2024-07-03,980.5578021857239
2024-07-05,961.8302825209595
2024-07-08,979.9462008582093
2024-07-09,1004.2539117651917
2024-07-10,1031.2368242819764
2024-07-11,973.8312376425722
2024-07-12,987.8960847296693
2024-07-15,981.7808881674745
2024-07-16,965.8815871176698
2024-07-17,901.9022195937137
2024-07-18,925.5982708365419
2024-07-19,901.443576934717
2024-07-22,944.3257905013063
2024-07-23,937.0641039648989
2024-07-24,873.314057770441
2024-07-25,858.2555627043704
2024-07-26,864.2178589346865
2024-07-29,852.9813471358278
2024-07-30,792.9004422133426
2024-07-31,894.487574388788
2024-08-01,834.7889494643191
2024-08-02,819.9597757277469
2024-08-05,767.8284629935246
2024-08-06,796.8752091391544
2024-08-07,756.0569458746892
2024-08-08,802.378862710474
2024-08-09,800.6971924063663
2024-08-12,833.3366004897098
2024-08-13,887.7610098456363
2024-08-14,902.5902419188479
2024-08-15,939.1279959303835
2024-08-16,952.2753826895693
2024-08-19,993.7052472815492
2024-08-20,972.6846309950807
2024-08-21,982.2394141531922
2024-08-22,945.8545604735352
2024-08-23,988.8895576987243
2024-08-26,966.6459137671447
2024-08-27,980.7107608542419
2024-08-28,960.1486705534912
2024-08-29,898.8446213126161
2024-08-30,912.4508257407166
2024-09-03,825.5397919600467
